task_text;category;required_skills;difficulty;subtasks
Conduct tree testing for information architecture;ui/ux design;"[""Miro"", ""Design Systems"", ""InVision""]";Medium;"[""Create wireframes"", ""Conduct user research"", ""Conduct usability testing"", ""Build prototype""]"
Build audit logging system for user actions;backend;"[""Java"", ""Go""]";Easy;"[""Set up database schema"", ""Write unit tests"", ""Code review and documentation""]"
Implement contract testing with Pact;testing;"[""K6"", ""Robot Framework""]";Easy;"[""Set up test environment"", ""Define test strategy"", ""Execute tests""]"
Implement search API with filters and pagination;backend;"[""MongoDB"", ""MySQL"", ""Docker"", ""Spring Boot""]";Hard;"[""Code review and documentation"", ""Implement business logic"", ""Set up database schema"", ""Write unit tests"", ""Design API endpoints""]"
Set up flaky test detection and reporting;testing;"[""Pact"", ""Postman"", ""Cypress""]";Medium;"[""Report and track bugs"", ""Define test strategy"", ""Write test cases"", ""Execute tests""]"
Configure Nginx reverse proxy for deployment;deployment;"[""Linux"", ""Nginx"", ""CloudFormation""]";Medium;"[""Build and package application"", ""Configure environment"", ""Monitor deployment"", ""Run health checks""]"
Configure DNS routing with Route53;cloud;"[""CDN"", ""S3"", ""Terraform"", ""IAM""]";Hard;"[""Assess requirements"", ""Design architecture"", ""Implement security controls"", ""Configure cloud resources"", ""Monitor and optimize costs""]"
Conduct heuristic evaluation of existing interface;ui/ux design;"[""UX Writing"", ""InVision"", ""Accessibility""]";Medium;"[""Build prototype"", ""Conduct user research"", ""Create wireframes"", ""Conduct usability testing""]"
Configure network policies in Kubernetes;devops;"[""Grafana"", ""Kubernetes"", ""Docker""]";Medium;"[""Monitor and validate"", ""Write configuration scripts"", ""Plan infrastructure"", ""Deploy to production""]"
Set up database clustering for high availability;database administration;"[""SQL"", ""Redis"", ""PostgreSQL""]";Medium;"[""Apply to production"", ""Assess current state"", ""Implement in staging"", ""Plan changes""]"
Train face recognition model with deep learning;ai/ml;"[""BERT"", ""TensorFlow"", ""LSTM""]";Medium;"[""Train and tune model"", ""Design model architecture"", ""Prepare and clean data"", ""Deploy model to production""]"
Set up Redis cache invalidation strategy;database;"[""MySQL"", ""InfluxDB""]";Easy;"[""Analyze data requirements"", ""Implement queries"", ""Optimize performance""]"
Create visual regression tests with Percy;testing;"[""Cucumber"", ""Appium"", ""JUnit"", ""K6""]";Hard;"[""Define test strategy"", ""Report and track bugs"", ""Write test cases"", ""Set up test environment"", ""Execute tests""]"
Configure database encryption at rest;database administration;"[""MongoDB"", ""pgAdmin"", ""Oracle""]";Medium;"[""Assess current state"", ""Test thoroughly"", ""Plan changes"", ""Apply to production""]"
Write microservices integration test suite;testing;"[""Selenium"", ""Jest"", ""Appium"", ""K6""]";Hard;"[""Write test cases"", ""Define test strategy"", ""Execute tests"", ""Report and track bugs"", ""Set up test environment""]"
Create mood board for brand visual identity;ui/ux design;"[""InVision"", ""Prototyping"", ""Accessibility""]";Medium;"[""Design high-fidelity mockups"", ""Build prototype"", ""Conduct usability testing"", ""Conduct user research""]"
Design analytical schema for data warehouse;database;"[""Neo4j"", ""MongoDB"", ""SQL"", ""Oracle""]";Hard;"[""Design schema"", ""Optimize performance"", ""Analyze data requirements"", ""Document and test"", ""Implement queries""]"
Create escalation matrix for project issues;project management;"[""Roadmapping"", ""Budgeting"", ""Kanban""]";Medium;"[""Create project plan"", ""Monitor progress"", ""Define scope and objectives"", ""Assign tasks and resources""]"
Document deployment process step by step;documentation;"[""Draw.io"", ""MS Word""]";Easy;"[""Publish documentation"", ""Review with stakeholders"", ""Maintain and update""]"
Implement disaster recovery on Google Cloud;cloud;"[""Kubernetes"", ""Terraform"", ""IAM"", ""AWS""]";Hard;"[""Configure cloud resources"", ""Implement security controls"", ""Monitor and optimize costs"", ""Design architecture"", ""Assess requirements""]"
Perform database health check audit;database administration;"[""MongoDB"", ""HA"", ""SQL""]";Medium;"[""Apply to production"", ""Assess current state"", ""Test thoroughly"", ""Implement in staging""]"
Implement soft delete pattern in database;database;"[""Neo4j"", ""SQLite"", ""DynamoDB""]";Medium;"[""Implement queries"", ""Analyze data requirements"", ""Design schema"", ""Optimize performance""]"
Design event-driven architecture with SNS and SQS;cloud;"[""GCP"", ""EKS"", ""RDS""]";Medium;"[""Design architecture"", ""Configure cloud resources"", ""Implement security controls"", ""Monitor and optimize costs""]"
Create integration guide for third-party API;documentation;"[""Git"", ""MS Word""]";Easy;"[""Draft content"", ""Publish documentation"", ""Maintain and update""]"
Create modal dialog system;frontend;"[""CSS"", ""Webpack""]";Easy;"[""Integrate with APIs"", ""Add responsive design"", ""Cross-browser testing""]"
Build revenue attribution model;data science;"[""Power BI"", ""Matplotlib"", ""Jupyter""]";Medium;"[""Create visualizations"", ""Present findings to stakeholders"", ""Collect and validate data"", ""Build statistical model""]"
Write README for open source project;documentation;"[""Technical Writing"", ""ReadTheDocs"", ""MS Word"", ""Git""]";Hard;"[""Gather information"", ""Maintain and update"", ""Draft content"", ""Publish documentation"", ""Review with stakeholders""]"
Manage stakeholder communication and expectations;project management;"[""Stakeholder Management"", ""Roadmapping"", ""Risk Management"", ""Trello""]";Hard;"[""Report to stakeholders"", ""Monitor progress"", ""Define scope and objectives"", ""Create project plan"", ""Assign tasks and resources""]"
Design multi-tenant database architecture;database;"[""Flyway"", ""SQL"", ""MySQL""]";Medium;"[""Analyze data requirements"", ""Document and test"", ""Implement queries"", ""Optimize performance""]"
Write troubleshooting guide for common errors;documentation;"[""API Documentation"", ""LaTeX"", ""Markdown"", ""ReadTheDocs""]";Hard;"[""Draft content"", ""Gather information"", ""Maintain and update"", ""Review with stakeholders"", ""Publish documentation""]"
Create interactive sales performance report;data science;"[""SQL"", ""R"", ""Jupyter""]";Medium;"[""Perform exploratory analysis"", ""Build statistical model"", ""Create visualizations"", ""Present findings to stakeholders""]"
Build revenue attribution model;data science;"[""Pandas"", ""Prophet"", ""Python"", ""NumPy""]";Hard;"[""Collect and validate data"", ""Present findings to stakeholders"", ""Build statistical model"", ""Create visualizations"", ""Perform exploratory analysis""]"
Conduct card sorting for navigation redesign;ui/ux design;"[""Wireframing"", ""UX Writing"", ""Zeplin"", ""HTML""]";Hard;"[""Build prototype"", ""Create wireframes"", ""Design high-fidelity mockups"", ""Conduct user research"", ""Conduct usability testing""]"
Create image carousel with lazy loading;frontend;"[""Storybook"", ""Tailwind CSS"", ""Vue.js""]";Medium;"[""Add responsive design"", ""Cross-browser testing"", ""Create wireframes"", ""Build UI components""]"
Set up feature flag management system;devops;"[""Terraform"", ""Bash"", ""Grafana"", ""CI/CD""]";Hard;"[""Monitor and validate"", ""Write configuration scripts"", ""Test in staging environment"", ""Deploy to production"", ""Plan infrastructure""]"
Implement session management system;backend;"[""MongoDB"", ""Docker"", ""Redis""]";Medium;"[""Code review and documentation"", ""Design API endpoints"", ""Implement business logic"", ""Set up database schema""]"
Configure database connection string management;database administration;"[""Backup & Recovery"", ""MySQL"", ""Oracle"", ""SQL""]";Hard;"[""Plan changes"", ""Test thoroughly"", ""Apply to production"", ""Implement in staging"", ""Assess current state""]"
Implement rate limiting for API endpoints;backend;"[""Go"", ""Flask"", ""Redis""]";Medium;"[""Implement business logic"", ""Design API endpoints"", ""Set up database schema"", ""Write unit tests""]"
Create data dictionary for analytics team;documentation;"[""Notion"", ""Draw.io"", ""Markdown""]";Medium;"[""Publish documentation"", ""Maintain and update"", ""Gather information"", ""Review with stakeholders""]"
Build content management REST API;backend;"[""Go"", ""Python"", ""REST API""]";Medium;"[""Implement business logic"", ""Set up database schema"", ""Write unit tests"", ""Code review and documentation""]"
Write technical runbook for operations team;documentation;"[""Draw.io"", ""ReadTheDocs"", ""Markdown"", ""Asciidoc""]";Hard;"[""Maintain and update"", ""Review with stakeholders"", ""Publish documentation"", ""Draft content"", ""Gather information""]"
Set up cross-region database replication;database administration;"[""Encryption"", ""Performance Tuning"", ""Clustering"", ""Oracle""]";Hard;"[""Apply to production"", ""Implement in staging"", ""Plan changes"", ""Assess current state"", ""Test thoroughly""]"
Create accessible navigation menu;frontend;"[""Redux"", ""Next.js""]";Easy;"[""Add responsive design"", ""Create wireframes"", ""Integrate with APIs""]"
Set up database managed service on RDS;cloud;"[""Kubernetes"", ""Route53"", ""Azure"", ""CloudWatch""]";Hard;"[""Design architecture"", ""Configure cloud resources"", ""Implement security controls"", ""Monitor and optimize costs"", ""Assess requirements""]"
Create webhook integration service;backend;"[""Go"", ""Redis"", ""Flask"", ""Spring Boot""]";Hard;"[""Code review and documentation"", ""Write unit tests"", ""Implement business logic"", ""Set up database schema"", ""Design API endpoints""]"
Build semantic search with sentence embeddings;ai/ml;"[""TensorFlow"", ""YOLO"", ""PyTorch""]";Medium;"[""Deploy model to production"", ""Train and tune model"", ""Evaluate performance metrics"", ""Prepare and clean data""]"
Train object detection model with YOLO;ai/ml;"[""Python"", ""OpenCV"", ""PyTorch"", ""Scikit-learn""]";Hard;"[""Deploy model to production"", ""Evaluate performance metrics"", ""Train and tune model"", ""Prepare and clean data"", ""Design model architecture""]"
Create escalation matrix for project issues;project management;"[""Roadmapping"", ""Risk Management""]";Easy;"[""Monitor progress"", ""Define scope and objectives"", ""Report to stakeholders""]"
Deploy application with zero downtime strategy;deployment;"[""Git"", ""Heroku"", ""Nginx""]";Medium;"[""Run health checks"", ""Build and package application"", ""Monitor deployment"", ""Configure environment""]"
Monitor slow query log and optimize;database administration;"[""Encryption"", ""HA"", ""Clustering"", ""Oracle""]";Hard;"[""Apply to production"", ""Assess current state"", ""Plan changes"", ""Implement in staging"", ""Test thoroughly""]"
Configure load balancer for deployed application;deployment;"[""Docker"", ""Shell Scripting""]";Easy;"[""Monitor deployment"", ""Build and package application"", ""Run health checks""]"
Design time-series schema for IoT sensor data;database;"[""Snowflake"", ""MongoDB"", ""DynamoDB""]";Medium;"[""Analyze data requirements"", ""Document and test"", ""Design schema"", ""Optimize performance""]"
Configure load balancer for deployed application;deployment;"[""Ansible"", ""Terraform"", ""Helm""]";Medium;"[""Configure environment"", ""Run health checks"", ""Build and package application"", ""Monitor deployment""]"
Create named entity recognition pipeline;ai/ml;"[""Python"", ""MLflow"", ""TensorFlow""]";Medium;"[""Design model architecture"", ""Prepare and clean data"", ""Evaluate performance metrics"", ""Train and tune model""]"
Implement JWT token refresh mechanism;backend;"[""Redis"", ""GraphQL"", ""Django""]";Medium;"[""Set up database schema"", ""Write unit tests"", ""Implement business logic"", ""Design API endpoints""]"
Set up container registry on ECR;cloud;"[""Route53"", ""IAM"", ""GCP"", ""VPC""]";Hard;"[""Design architecture"", ""Assess requirements"", ""Configure cloud resources"", ""Implement security controls"", ""Monitor and optimize costs""]"
Write technical runbook for operations team;documentation;"[""Asciidoc"", ""Markdown"", ""Swagger""]";Medium;"[""Draft content"", ""Publish documentation"", ""Gather information"", ""Maintain and update""]"
Write performance load tests with JMeter;testing;"[""Postman"", ""Selenium"", ""Appium""]";Medium;"[""Write test cases"", ""Set up test environment"", ""Report and track bugs"", ""Execute tests""]"
Perform database health check audit;database administration;"[""Cassandra"", ""MongoDB"", ""SQL""]";Medium;"[""Plan changes"", ""Assess current state"", ""Test thoroughly"", ""Apply to production""]"
Perform database version upgrade with zero downtime;database administration;"[""Performance Tuning"", ""DBA"", ""Clustering""]";Medium;"[""Implement in staging"", ""Apply to production"", ""Assess current state"", ""Plan changes""]"
